ensgene,XG1_PLB,XG6_PLB,VP6_DJ,KMS12PE_JCRB,KMS12BM_JCRB,KMS20_JCRB
ENSG00000006659,0.0793,0.1766,-0.9215,-0.9087,-0.3302,0.0293
ENSG00000008405,-0.024,0.0307,-0.9521,0.012,-0.2132,-0.9397
ENSG00000025039,-0.4277,-0.5045,0.0231,-7e-04,-0.0855,0.0052
ENSG00000026103,-0.2059,-0.548,0.0061,-0.9531,-0.3619,0.007
ENSG00000079134,-0.0477,0.4282,-0.0211,0.5039,0.0251,-0.001
ENSG00000081189,-0.3959,-0.5339,0.0163,-0.9622,-0.8994,0.0058
ENSG00000083750,-0.9476,-0.5048,-0.9705,-0.7614,-0.8399,-0.904
ENSG00000085415,-0.0477,0.4282,-0.0211,0.5039,0.0251,-0.001
ENSG00000087088,0.0793,0.1766,-0.9215,-0.9087,-0.3302,0.0293
ENSG00000089041,-0.024,0.0307,-0.9521,0.012,-0.2021,0.4629
ENSG00000092969,0.0055,0.7402,0.0011,-0.9648,0.0154,0.7322
ENSG00000096717,-0.2059,-0.5437,0.0061,-0.9643,-0.9354,0.0096
ENSG00000100219,-0.0786,-0.0081,0.0619,-0.9216,-0.677,-0.9195
ENSG00000100296,-0.0786,-0.0081,0.0619,-0.9216,-0.677,-0.9195
ENSG00000100726,-0.4567,-0.0135,0.0253,0.0199,0.2117,0.0393
ENSG00000103091,-0.4306,0.0111,-0.9773,-0.9176,-0.8992,-0.9191
ENSG00000104872,0.0793,0.1766,-0.9215,-0.9087,-0.3302,0.0293
ENSG00000105198,0.0793,0.1766,-0.9215,-0.9087,-0.3302,0.0293
ENSG00000105327,0.0793,0.1766,-0.9215,-0.9087,-0.3302,0.0293
ENSG00000106615,-0.0892,0.6418,0.5706,0.5477,0.5833,0.0208
ENSG00000109270,-0.4372,-0.5126,-0.0106,-0.0061,-0.335,-0.014
ENSG00000109756,-0.4372,-0.5198,-0.0106,-0.9826,-0.556,-0.014
ENSG00000113384,0.2212,0.919,0.7872,-0.0121,0.1193,0.0058
ENSG00000114251,-1.0151,0.0131,0.0401,-0.0034,0.051,0.0172
ENSG00000116586,0.0086,0.7876,0.6209,0.5665,-0.1255,1.4945
ENSG00000116954,-0.4088,-0.0035,0.0347,0.0202,-0.8489,0.0166
ENSG00000117748,-0.4088,-0.0035,0.0347,0.0202,-0.8489,0.0166
ENSG00000119508,0.0511,0.3026,0.0069,0.5853,-0.0125,0.01
ENSG00000127580,-0.4567,-0.0135,0.0253,0.0199,0.2117,0.0393
ENSG00000131203,-0.0101,0.3523,-0.0078,0.0382,0.1964,0.0069
ENSG00000134248,-0.3912,-0.529,-0.9426,0.0136,-0.1255,-0.9665
ENSG00000135046,-0.0225,0.3026,0.0069,0.5853,-0.0125,0.01
ENSG00000135249,0.0142,0.5436,0.6039,0.5527,0.5944,0.0023
ENSG00000136104,-0.5772,-0.5454,-1.0113,-0.7194,-0.9372,-0.9698
ENSG00000136634,0.0055,0.7402,0.0011,-0.9648,0.0154,0.7322
ENSG00000139842,-0.5772,-0.5209,-1.0113,1.1057,0.3758,-0.9698
ENSG00000141510,-0.0335,-0.2966,-0.9168,-0.9395,-0.8906,-0.9353
ENSG00000141564,-0.4329,-0.5867,0.0519,0.0143,-1.4488,0.0163
ENSG00000141867,0.0793,0.0902,0.0538,0.0181,-0.3282,0.0125
ENSG00000144161,-0.3614,0.0351,-3e-04,-0.0168,-0.3759,-0.0091
